timestamp,image_name,soil_type,confidence,moisture,salinity,om_index,ph_tendency,soil_health,expert_explanation,user_comment,user_correction
2026-02-28T12:51:25.072469,Final Decision,Alluvial Soil,91.10%,71.02,83.22,4.50,Neutral to Slightly Acidic,Poor,-,,
2026-03-01T13:16:25.827752,Final Decision,Alluvial Soil,91.10%,71.02,83.22,4.50,Neutral to Slightly Acidic,Poor,- -,,
2026-03-01T13:33:01.624498,Final Decision,Alluvial Soil,91.10%,71.02,83.22,4.50,Neutral to Slightly Acidic,Poor,- -,,
2026-03-01T13:38:24.960246,Final Decision,Alluvial Soil,91.10%,71.02,83.22,4.50,Neutral to Slightly Acidic,Poor,- -,,
2026-03-01T13:43:54.852454,Final Decision,Alluvial Soil,91.10%,71.02,83.22,4.50,Neutral to Slightly Acidic,Poor,- -,,
2026-03-01T13:53:53.387620,Final Decision,Alluvial Soil,91.10%,43.58,62.72,3.06,Neutral to Slightly Acidic,Excellent,- -,,
2026-03-01T14:05:59.535849,Final Decision,Alluvial Soil,91.10%,43.58,34.86,3.06,6.4 (Slightly Acidic),Excellent,- -,,
2026-03-01T14:06:09.576050,Final Decision,Alluvial Soil,91.10%,43.58,34.86,3.06,6.4 (Slightly Acidic),Excellent,- -,,
2026-03-01T14:06:14.544485,Final Decision,Alluvial Soil,91.10%,43.58,34.86,3.06,6.4 (Slightly Acidic),Excellent,- -,,
2026-03-01T14:06:18.560214,Final Decision,Alluvial Soil,91.10%,43.58,34.86,3.06,6.4 (Slightly Acidic),Excellent,- -,,
2026-03-01T14:06:35.951877,Final Decision,Alluvial Soil,91.10%,43.58,34.86,3.06,6.4 (Slightly Acidic),Excellent,- -,,
2026-03-01T14:29:05.459588,Final Decision,Alluvial Soil,91.10%,45.33,53.04,3.13,7.9 (Slightly Alkaline),Excellent,- -,,
2026-03-04T23:37:08.809769,Final Decision,Laterite Soil,100.00%,14.70,22.60,2.50,Acidic,Poor,- -,,
2026-03-04T23:37:47.372596,Final Decision,Mountain Soil,70.56%,17.74,53.83,1.50,Neutral to Acidic,Poor,- -,,
2026-03-04T23:38:54.343955,Final Decision,Red Soil,94.56%,43.08,67.59,2.00,Acidic,Poor,- -,,
2026-03-04T23:39:07.740036,Final Decision,Red Soil,94.56%,43.08,67.59,2.00,Acidic,Poor,- -,,
2026-03-04T23:47:22.413659,Final Decision,Red Soil,79.53%,34.84,43.93,2.00,Acidic,Poor,- -,,
2026-03-04T23:47:33.176128,Final Decision,Red Soil,79.53%,34.84,43.93,2.00,Acidic,Poor,- -,,
